open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
74.6,75.3,73.47,73.57,31139900.0,000858.SZ,20260724,五粮液,NA,CNY
73.66,74.46,73.51,73.9,20333100.0,000858.SZ,20260727,五粮液,NA,CNY
73.9,75.16,73.42,74.8,31481400.0,000858.SZ,20260728,五粮液,NA,CNY
74.92,75.86,74.69,75.17,40741600.0,000858.SZ,20260729,五粮液,NA,CNY
75.1,78.84,75.01,78.56,72903800.0,000858.SZ,20260730,五粮液,NA,CNY
76.99,78.68,76.59,78.0,49786000.0,000858.SZ,20260731,五粮液,NA,CNY
