open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
36.6,36.7,35.83,35.85,15736400.0,603288.SH,20260724,海天味业,NA,CNY
35.86,36.4,35.66,36.02,13191500.0,603288.SH,20260727,海天味业,NA,CNY
36.23,37.1,35.86,37.01,18653800.0,603288.SH,20260728,海天味业,NA,CNY
37.01,38.04,36.92,37.64,26965300.0,603288.SH,20260729,海天味业,NA,CNY
37.64,38.97,37.51,38.66,29261400.0,603288.SH,20260730,海天味业,NA,CNY
37.5,38.44,37.5,38.44,20057100.0,603288.SH,20260731,海天味业,NA,CNY
